model,config,param,has_prior,has_value,ref,proposal,entry,prior_min,prior_max,prior_width
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.input.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,A_planck,True,False,1.025,0.0015,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,omega_cdm,False,True,"""""","""""","{""renames"": [""omegach2""], ""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,tau_reio,False,True,"""""","""""","{""renames"": [""tau""], ""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run.updated.yaml,chi2__CMB,False,False,"""""","""""","{""derived"": true, ""latex"": ""\\chi^2_\\mathrm{CMB}""}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.input.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,A_planck,True,False,1.025,0.0015,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,omega_cdm,False,True,"""""","""""","{""renames"": [""omegach2""], ""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,tau_reio,False,True,"""""","""""","{""renames"": [""tau""], ""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/chains/stage3b16_native_baseline_run_additional_chain01.updated.yaml,chi2__CMB,False,False,"""""","""""","{""derived"": true, ""latex"": ""\\chi^2_\\mathrm{CMB}""}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.input.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,A_planck,True,False,1.025,0.0015,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,omega_cdm,False,True,"""""","""""","{""renames"": [""omegach2""], ""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,tau_reio,False,True,"""""","""""","{""renames"": [""tau""], ""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run.updated.yaml,chi2__CMB,False,False,"""""","""""","{""derived"": true, ""latex"": ""\\chi^2_\\mathrm{CMB}""}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.input.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022, ""renames"": [""omegabh2""]}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875, ""renames"": [""ns""]}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,A_planck,True,False,1.025,0.0015,"{""latex"": ""y_\\mathrm{cal}"", ""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025, ""renames"": ""calPlanck""}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,omega_cdm,False,True,"""""","""""","{""renames"": [""omegach2""], ""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,tau_reio,False,True,"""""","""""","{""renames"": [""tau""], ""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/chains/stage3b6_first_production_run_additional_chain01.updated.yaml,chi2__CMB,False,False,"""""","""""","{""derived"": true, ""latex"": ""\\chi^2_\\mathrm{CMB}""}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,omega_b,False,True,"""""","""""","{""value"": 0.022}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,n_s,False,True,"""""","""""","{""value"": 0.981875}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,A_planck,False,True,"""""","""""","{""value"": 1.025}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_fixed_reference.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/stage3b15_matched_native_baseline_preflight_native_sampler_seed.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/stage3b16_native_baseline_sampler_checkpoint_execution_sampler.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
native,deu_validation/stage3b_outputs/stage3b18_additional_native_baseline_chains_readiness_additional_sampler.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/stage3b7_first_production_checkpoint_execution_sampler.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,deu_damping_envelope_beta,True,False,0.03,0.00025,"{""prior"": {""max"": 0.0305, ""min"": 0.0285}, ""proposal"": 0.00025, ""ref"": 0.03}",0.0285,0.0305,0.0019999999999999983
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,deu_transfer_polamp_p_vis,True,False,1.0475,0.0005,"{""prior"": {""max"": 1.05, ""min"": 1.045}, ""proposal"": 0.0005, ""ref"": 1.0475}",1.045,1.05,0.0050000000000001155
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,omega_b,True,False,0.022,2.5e-05,"{""prior"": {""max"": 0.0221, ""min"": 0.0219}, ""proposal"": 2.5e-05, ""ref"": 0.022}",0.0219,0.0221,0.00020000000000000226
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,n_s,True,False,0.981875,0.00025,"{""prior"": {""max"": 0.9825, ""min"": 0.9805}, ""proposal"": 0.00025, ""ref"": 0.981875}",0.9805,0.9825,0.0020000000000000018
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,A_planck,True,False,1.025,0.0015,"{""prior"": {""max"": 1.03, ""min"": 1.02}, ""proposal"": 0.0015, ""ref"": 1.025}",1.02,1.03,0.010000000000000009
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,H0,False,True,"""""","""""","{""value"": 67.4}",,,
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,ln10^{10}A_s,False,True,"""""","""""","{""value"": 3.044}",,,
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,omega_cdm,False,True,"""""","""""","{""value"": 0.12}",,,
deu,deu_validation/stage3b_outputs/stage3b9_additional_production_chains_readiness_additional_sampler.yaml,tau_reio,False,True,"""""","""""","{""value"": 0.0544}",,,
